Req #,Type,Category,Requirement,Priority,Salesforce AFCC Capability,AFCC Product Component,Capability Notes / Fit Assessment,Gaps / Open Questions
BR-1,Business,All 4,Provide a QSR-dedicated voice channel on Salesforce Service Cloud Voice reachable by store associates and franchisees,P0,Native Voice – Native end-to-end voice channel built on Salesforce-owned infrastructure (STIR/Shaken + E911 + CALEA compliant),Agentforce Contact Center – Native Voice,"Toll-free number provisioned on Salesforce Native Voice (Amazon Connect OEM) or BYOT. Enterprise-grade reliability, US/Canada available.","Open Q4: Amazon Connect OEM vs BYOT partner? Lead time for toll-free provisioning?"
BR-2,Business,All 4,Route calls via Salesforce Omni-Channel to a QSR-trained agent tier working in Salesforce Service Console,P0,Enhanced Omni-Channel Routing – Queue-based and skill-based routing; Omni-Channel presence for supervision of intake interactions,Agentforce Contact Center – Enhanced Omni-Channel Routing,QSR skill created in Omni-Channel with skill-based routing rules. Agents set to QSR presence status. Service Console is the native agent workspace.,Open Q5: Who owns IVR Flow build + Omni-Channel QSR skill config (Salesforce partner or Walmart platform team)?
BR-3,Business,All 4,"Capture caller role (Franchisee Admin / Store Manager / Store Operator) and inquiry category (Order / Driver / Complaint / Item) up-front for agent context",P0,Agentforce Voice – Interactive Voice Assistant (IVA) for intelligent routing; Service Cloud Voice Flows for IVR logic,Agentforce Contact Center – Agentforce Voice / Native Voice IVR,"IVR Flow: role capture (press 1/2/3) + category capture (press 1/2/3/4) + FID lookup. Values written natively onto Voice Call record, linked Case opened automatically on agent accept.",Open Q6: Cross-channel Case dedup key – FID + phone + 30-day window sufficient?
BR-4,Business,Order + Driver,"Enable live order-failure dispositioning with LMD reason codes (LMD650 / LMD651 / LMD652) captured on the call as Salesforce Case fields",P0,Case Management – mandatory disposition picklist on Case object; Salesforce Flow validation rule enforcing close disposition,Agentforce Contact Center – Case Management + Salesforce Flow,"Custom Case picklist: LMD650 (Order Not Ready) / LMD651 (Store Closed) / LMD652 (Store Did Not Receive Order) + Complaint / Item / Other. Validation rule blocks Case save if empty. Feeds LMD Power BI dashboard via Salesforce data pipe.",None – fully native Salesforce Case config
BR-5,Business,Driver,"Enable live driver-issue triage (un-batch request, driver-behavior report, wait-SLA breach)",P0,Enhanced Omni-Channel Routing – warm transfer to Spark driver support queue; Salesforce Flow / Apex for LMD un-batch API callout,Agentforce Contact Center – Omni-Channel Routing + Custom Lightning Component (Driver),"Driver Lightning Component: assigned driver, ETA, wait-time. One-click Un-batch action via Salesforce Flow/Apex calling LMD un-batch API. Warm-transfer to Spark driver support queue via Omni-Channel.",LMD un-batch API integration owned by Michelle Fultz / Edwin Ortiz – API contract needed
BR-6,Business,Complaint,"Provide a complaint intake and handoff path for store-received complaints (with allergen / food-safety fast-track)",P0,Case Management + Salesforce Flow P0 alert path; Omni-Channel routing to Compliance on-call queue,Agentforce Contact Center – Case Management + Salesforce Flow,"Complaint Lightning form: type / severity / action taken. Allergen checkbox triggers P0 Salesforce Flow alert to Compliance queue within 15 min. Validation rule blocks Case-close until Compliance ack field checked.",Open Q7: Who owns the Compliance queue in Salesforce + 15-min SLA Flow?
BR-7,Business,Item,"Provide an item-availability signalling path (OOS, wrong item, price mismatch) that feeds catalog / adapter teams",P1,Case Management – child Case creation; Omni-Channel or Salesforce Flow routing to adapter/catalog queue,Agentforce Contact Center – Case Management + Salesforce Flow,"Item Signal Lightning form: item ID/name, issue type, duration. On save: child Case auto-created and routed via Omni-Channel or Flow to Subway API adapter team + catalog team queue.",Open Q8: Single triage owner for item signals – Partner Services vs catalog vs Subway adapter?
BR-8,Business,All 4,Every voice interaction lands natively as a Salesforce Case (Service Cloud Voice pins call to case automatically); cross-channel history visible in same case timeline,P0,Native Voice Call-to-Case pinning; Case timeline showing prior email + voice history within 30 days,Agentforce Contact Center – Native Voice + Case Management,"Service Cloud Voice natively pins every call to a Case. On accept: Salesforce Flow queries open Cases by phone/FID/active-order-ID; links if found, auto-creates tagged QSR-Voice + category if not. Case timeline shows email + voice last 30 days.",Open Q6: Case dedup match key validation
BR-9,Business,All 4,"Comply with call-recording disclosure and Walmart standard recording / retention policy (native Service Cloud Voice recording + Shield event monitoring)",P0,Native Voice recording; Salesforce Shield event monitoring on Voice Call + Case objects,Agentforce Contact Center – Native Voice + Salesforce Shield,"IVR greeting includes disclosure. Native Service Cloud Voice call recording + retention config per policy. Salesforce Shield event monitoring on Voice Call + Case. No PCI data captured by design.",Compliance / Legal (TBD) to supply disclosure script + retention period
BR-10,Business,All 4,"Provide callback / voicemail fallback for peak / after-hours coverage (native Service Cloud Voice + Omni-Channel)",P1,Native Service Cloud Voice callback + voicemail; Salesforce Flow SLA enforcement for 4-hr callback,Agentforce Contact Center – Native Voice + Salesforce Flow,"Queue prompt: Press 1 to hold place + get callback. After-hours: voicemail transcribed to Case. Salesforce Flow enforces 4-hr callback SLA and creates follow-up tasks.",Open Q1: Coverage hours decision (24/7 vs 5am-11pm CT) needed from Business/Ops
